root - 2021-10-11 12:08:04,566  - INFO - acc: 0.01, loss: 10.919628373718261 size: 10000
root - 2021-10-11 12:09:38,163  - INFO - Epoch 0, acc: 39.680000, loss: 2.739386, aggregation_num: 9
root - 2021-10-11 12:11:13,124  - INFO - Epoch 1, acc: 51.830000, loss: 1.507394, aggregation_num: 9
root - 2021-10-11 12:12:48,518  - INFO - Epoch 2, acc: 56.130000, loss: 1.297957, aggregation_num: 9
root - 2021-10-11 12:14:24,530  - INFO - Epoch 3, acc: 58.190000, loss: 1.230504, aggregation_num: 9
root - 2021-10-11 12:15:59,755  - INFO - Epoch 4, acc: 60.750000, loss: 1.137548, aggregation_num: 9
root - 2021-10-11 12:17:35,946  - INFO - Epoch 5, acc: 62.770000, loss: 1.072811, aggregation_num: 9
root - 2021-10-11 12:19:11,117  - INFO - Epoch 6, acc: 64.360000, loss: 1.030885, aggregation_num: 9
root - 2021-10-11 12:20:46,228  - INFO - Epoch 7, acc: 66.140000, loss: 0.975596, aggregation_num: 9
root - 2021-10-11 12:22:21,258  - INFO - Epoch 8, acc: 66.760000, loss: 0.963033, aggregation_num: 9
root - 2021-10-11 12:23:56,652  - INFO - Epoch 9, acc: 67.750000, loss: 0.934420, aggregation_num: 9
root - 2021-10-11 12:25:31,688  - INFO - Epoch 10, acc: 68.610000, loss: 0.911350, aggregation_num: 9
root - 2021-10-11 12:27:06,782  - INFO - Epoch 11, acc: 69.790000, loss: 0.879792, aggregation_num: 9
root - 2021-10-11 12:28:42,379  - INFO - Epoch 12, acc: 70.500000, loss: 0.848455, aggregation_num: 9
root - 2021-10-11 12:30:17,606  - INFO - Epoch 13, acc: 71.100000, loss: 0.839331, aggregation_num: 9
root - 2021-10-11 12:31:52,183  - INFO - Epoch 14, acc: 71.200000, loss: 0.833786, aggregation_num: 9
root - 2021-10-11 12:33:27,941  - INFO - Epoch 15, acc: 71.840000, loss: 0.810985, aggregation_num: 9
root - 2021-10-11 12:35:03,317  - INFO - Epoch 16, acc: 72.610000, loss: 0.789723, aggregation_num: 9
root - 2021-10-11 12:36:38,661  - INFO - Epoch 17, acc: 73.030000, loss: 0.778133, aggregation_num: 9
root - 2021-10-11 12:38:13,575  - INFO - Epoch 18, acc: 73.200000, loss: 0.772865, aggregation_num: 9
root - 2021-10-11 12:39:49,131  - INFO - Epoch 19, acc: 73.570000, loss: 0.754208, aggregation_num: 9
