root - 2021-10-11 13:55:05,379  - INFO - Epoch 0, acc: 16.390000, loss: 4.800470, aggregation_num: 7
root - 2021-10-11 13:56:43,440  - INFO - Epoch 1, acc: 47.390000, loss: 2.265582, aggregation_num: 7
root - 2021-10-11 13:58:25,174  - INFO - Epoch 2, acc: 52.210000, loss: 1.521003, aggregation_num: 7
root - 2021-10-11 14:00:09,484  - INFO - Epoch 3, acc: 54.620000, loss: 1.355456, aggregation_num: 7
root - 2021-10-11 14:01:55,694  - INFO - Epoch 4, acc: 56.140000, loss: 1.293096, aggregation_num: 7
root - 2021-10-11 14:03:40,280  - INFO - Epoch 5, acc: 59.900000, loss: 1.161209, aggregation_num: 7
root - 2021-10-11 14:05:24,119  - INFO - Epoch 6, acc: 61.130000, loss: 1.128542, aggregation_num: 7
root - 2021-10-11 14:07:08,308  - INFO - Epoch 7, acc: 63.260000, loss: 1.062363, aggregation_num: 7
root - 2021-10-11 14:08:51,968  - INFO - Epoch 8, acc: 64.370000, loss: 1.028760, aggregation_num: 7
root - 2021-10-11 14:10:36,782  - INFO - Epoch 9, acc: 64.620000, loss: 1.009708, aggregation_num: 7
root - 2021-10-11 14:12:22,094  - INFO - Epoch 10, acc: 66.580000, loss: 0.959412, aggregation_num: 7
root - 2021-10-11 14:14:04,866  - INFO - Epoch 11, acc: 67.630000, loss: 0.935818, aggregation_num: 7
root - 2021-10-11 14:15:44,367  - INFO - Epoch 12, acc: 68.060000, loss: 0.925377, aggregation_num: 7
root - 2021-10-11 14:17:22,829  - INFO - Epoch 13, acc: 68.510000, loss: 0.912511, aggregation_num: 7
root - 2021-10-11 14:19:01,066  - INFO - Epoch 14, acc: 69.820000, loss: 0.874758, aggregation_num: 7
root - 2021-10-11 14:20:40,116  - INFO - Epoch 15, acc: 69.560000, loss: 0.882895, aggregation_num: 7
root - 2021-10-11 14:22:19,156  - INFO - Epoch 16, acc: 70.370000, loss: 0.851191, aggregation_num: 7
root - 2021-10-11 14:23:59,149  - INFO - Epoch 17, acc: 70.690000, loss: 0.847406, aggregation_num: 7
root - 2021-10-11 14:25:38,546  - INFO - Epoch 18, acc: 71.400000, loss: 0.822864, aggregation_num: 7
root - 2021-10-11 14:27:19,370  - INFO - Epoch 19, acc: 71.550000, loss: 0.813360, aggregation_num: 7
